CMDLINE C:\ProgramData\Miniconda3\python.exe camera.py
MEM 763.308594 1628790218.6315
MEM 763.308594 1628790218.7335
MEM 763.308594 1628790218.8355
MEM 763.308594 1628790218.9355
MEM 763.308594 1628790219.0355
MEM 763.308594 1628790219.1355
MEM 763.308594 1628790219.2355
MEM 763.308594 1628790219.3368
MEM 763.308594 1628790219.4388
MEM 763.308594 1628790219.5388
MEM 763.308594 1628790219.6388
MEM 763.308594 1628790219.7388
MEM 763.308594 1628790219.8408
MEM 763.308594 1628790219.9428
MEM 763.308594 1628790220.0428
MEM 763.308594 1628790220.1448
MEM 763.308594 1628790220.2448
MEM 763.308594 1628790220.3448
MEM 763.308594 1628790220.4468
MEM 763.308594 1628790220.5488
MEM 763.308594 1628790220.6488
MEM 763.308594 1628790220.7488
MEM 763.308594 1628790220.8508
MEM 763.308594 1628790220.9508
MEM 763.308594 1628790221.0508
MEM 763.308594 1628790221.1528
MEM 763.308594 1628790221.2528
MEM 763.308594 1628790221.3548
MEM 763.308594 1628790221.4568
MEM 763.308594 1628790221.5568
MEM 763.308594 1628790221.6588
MEM 763.308594 1628790221.7588
MEM 763.308594 1628790221.8608
MEM 763.308594 1628790221.9628
MEM 763.308594 1628790222.0628
MEM 763.308594 1628790222.1638
MEM 763.308594 1628790222.2651
MEM 763.308594 1628790222.3671
MEM 763.308594 1628790222.4671
MEM 763.308594 1628790222.5671
MEM 763.308594 1628790222.6691
MEM 763.308594 1628790222.7711
MEM 763.308594 1628790222.8711
MEM 763.417969 1628790222.9731
MEM 763.417969 1628790223.0732
MEM 763.417969 1628790223.1752
MEM 763.417969 1628790223.2767
MEM 763.421875 1628790223.3787
MEM 763.421875 1628790223.4799
MEM 763.421875 1628790223.5819
MEM 763.421875 1628790223.6839
MEM 763.421875 1628790223.7859
MEM 763.421875 1628790223.8879
MEM 763.421875 1628790223.9879
MEM 763.421875 1628790224.0879
MEM 763.421875 1628790224.1899
MEM 763.671875 1628790224.2901
MEM 763.671875 1628790224.3913
MEM 763.671875 1628790224.4932
MEM 763.671875 1628790224.5945
MEM 763.671875 1628790224.6945
MEM 763.671875 1628790224.7965
MEM 763.671875 1628790224.8983
MEM 763.671875 1628790225.0003
MEM 763.671875 1628790225.1015
MEM 763.671875 1628790225.2015
MEM 763.671875 1628790225.3035
MEM 763.671875 1628790225.4035
MEM 763.671875 1628790225.5055
MEM 763.671875 1628790225.6055
MEM 763.671875 1628790225.7062
MEM 763.671875 1628790225.8074
MEM 763.671875 1628790225.9086
MEM 763.671875 1628790226.0106
MEM 763.671875 1628790226.1106
MEM 763.671875 1628790226.2106
MEM 763.671875 1628790226.3107
MEM 763.671875 1628790226.4126
MEM 763.671875 1628790226.5146
MEM 763.671875 1628790226.6152
MEM 763.671875 1628790226.7172
MEM 763.671875 1628790226.8184
MEM 763.671875 1628790226.9184
MEM 763.421875 1628790227.0185
MEM 763.421875 1628790227.1185
MEM 763.421875 1628790227.2190
MEM 763.363281 1628790227.3204
MEM 763.363281 1628790227.4204
MEM 763.363281 1628790227.5224
MEM 763.363281 1628790227.6244
MEM 763.363281 1628790227.7264
MEM 763.363281 1628790227.8283
MEM 763.363281 1628790227.9284
MEM 763.363281 1628790228.0284
MEM 763.363281 1628790228.1303
MEM 763.363281 1628790228.2304
MEM 763.363281 1628790228.3304
MEM 763.363281 1628790228.4324
MEM 763.363281 1628790228.5324
MEM 763.363281 1628790228.6349
MEM 763.367188 1628790228.7363
MEM 763.367188 1628790228.8376
MEM 763.367188 1628790228.9376
MEM 763.367188 1628790229.0396
MEM 763.367188 1628790229.1406
MEM 763.367188 1628790229.2419
MEM 763.367188 1628790229.3425
MEM 763.363281 1628790229.4445
MEM 763.359375 1628790229.5458
MEM 763.355469 1628790229.6478
MEM 763.355469 1628790229.7478
MEM 763.355469 1628790229.8498
MEM 763.355469 1628790229.9498
MEM 763.355469 1628790230.0518
MEM 763.355469 1628790230.1538
MEM 763.355469 1628790230.2538
MEM 763.355469 1628790230.3558
MEM 763.355469 1628790230.4578
MEM 763.355469 1628790230.5578
MEM 763.355469 1628790230.6578
MEM 763.355469 1628790230.7598
MEM 763.355469 1628790230.8598
MEM 763.355469 1628790230.9598
MEM 763.355469 1628790231.0618
MEM 763.355469 1628790231.1638
MEM 763.355469 1628790231.2638
MEM 763.355469 1628790231.3658
MEM 763.355469 1628790231.4658
MEM 763.355469 1628790231.5671
MEM 763.355469 1628790231.6684
MEM 763.355469 1628790231.7704
MEM 763.355469 1628790231.8704
MEM 763.355469 1628790231.9710
MEM 763.355469 1628790232.0724
MEM 763.355469 1628790232.1744
MEM 763.355469 1628790232.2744
MEM 763.355469 1628790232.3764
MEM 763.355469 1628790232.4784
MEM 763.355469 1628790232.5804
MEM 763.367188 1628790232.6824
MEM 763.609375 1628790232.7844
MEM 763.613281 1628790232.8864
MEM 763.613281 1628790232.9864
MEM 764.164062 1628790233.0884
MEM 764.164062 1628790233.1904
MEM 764.164062 1628790233.2904
MEM 764.445312 1628790233.3924
MEM 764.765625 1628790233.4944
MEM 764.765625 1628790233.5944
MEM 764.765625 1628790233.6964
MEM 764.765625 1628790233.7984
MEM 764.765625 1628790233.9004
MEM 764.765625 1628790234.0004
MEM 764.765625 1628790234.1024
MEM 764.765625 1628790234.2024
MEM 764.765625 1628790234.3024
MEM 764.765625 1628790234.4030
MEM 764.765625 1628790234.5043
MEM 764.765625 1628790234.6043
MEM 764.765625 1628790234.7063
MEM 764.765625 1628790234.8063
MEM 764.765625 1628790234.9083
MEM 764.765625 1628790235.0103
MEM 764.765625 1628790235.1123
MEM 764.765625 1628790235.2123
MEM 764.765625 1628790235.3134
MEM 764.765625 1628790235.4136
MEM 764.765625 1628790235.5145
MEM 764.765625 1628790235.6145
MEM 764.765625 1628790235.7165
MEM 764.765625 1628790235.8179
MEM 764.765625 1628790235.9199
MEM 764.765625 1628790236.0199
MEM 764.765625 1628790236.1199
MEM 764.765625 1628790236.2219
MEM 764.765625 1628790236.3219
MEM 764.765625 1628790236.4219
MEM 764.765625 1628790236.5239
MEM 764.765625 1628790236.6239
MEM 764.765625 1628790236.7259
MEM 764.765625 1628790236.8259
MEM 764.765625 1628790236.9259
MEM 764.765625 1628790237.0279
MEM 764.765625 1628790237.1299
MEM 764.765625 1628790237.2319
MEM 764.765625 1628790237.3319
MEM 764.765625 1628790237.4339
MEM 764.765625 1628790237.5339
MEM 765.027344 1628790237.6359
MEM 765.257812 1628790237.7359
MEM 765.550781 1628790237.8360
MEM 765.550781 1628790237.9372
MEM 765.578125 1628790238.0392
MEM 765.691406 1628790238.1412
MEM 765.691406 1628790238.2432
MEM 765.691406 1628790238.3452
MEM 765.691406 1628790238.4472
MEM 765.691406 1628790238.5472
MEM 765.691406 1628790238.6472
MEM 765.691406 1628790238.7486
MEM 765.691406 1628790238.8491
MEM 765.691406 1628790238.9504
MEM 765.695312 1628790239.0524
MEM 765.695312 1628790239.1544
MEM 765.699219 1628790239.2564
MEM 765.699219 1628790239.3564
MEM 765.699219 1628790239.4564
MEM 765.699219 1628790239.5597
MEM 765.699219 1628790239.6617
MEM 765.699219 1628790239.7637
MEM 765.699219 1628790239.8637
MEM 765.699219 1628790239.9637
MEM 765.699219 1628790240.0637
MEM 765.699219 1628790240.1657
MEM 765.699219 1628790240.2677
MEM 765.699219 1628790240.3677
MEM 765.699219 1628790240.4689
MEM 765.699219 1628790240.5709
MEM 765.699219 1628790240.6709
MEM 765.699219 1628790240.7710
MEM 765.699219 1628790240.8710
MEM 767.902344 1628790240.9710
MEM 767.902344 1628790241.0717
MEM 767.902344 1628790241.1723
MEM 769.937500 1628790241.2743
MEM 840.097656 1628790241.3762
MEM 927.351562 1628790241.4762
MEM 1009.453125 1628790241.5763
MEM 1095.585938 1628790241.6783
MEM 1179.136719 1628790241.7803
MEM 1251.878906 1628790241.8823
MEM 1335.773438 1628790241.9843
MEM 1416.281250 1628790242.0843
MEM 1506.492188 1628790242.1850
MEM 1587.117188 1628790242.2863
MEM 1679.789062 1628790242.3863
MEM 1734.769531 1628790242.4872
MEM 1734.921875 1628790242.5876
MEM 1766.050781 1628790242.6889
MEM 1816.632812 1628790242.7910
MEM 1857.273438 1628790242.8929
MEM 1876.078125 1628790242.9930
MEM 1899.769531 1628790243.0949
MEM 1915.171875 1628790243.1970
MEM 1915.621094 1628790243.2989
MEM 1927.046875 1628790243.3989
MEM 1931.562500 1628790243.5001
MEM 1931.613281 1628790243.6003
MEM 1934.792969 1628790243.7017
MEM 1934.832031 1628790243.8037
MEM 1934.941406 1628790243.9037
MEM 1948.968750 1628790244.0037
MEM 1960.761719 1628790244.1057
MEM 1959.406250 1628790244.2077
MEM 1963.007812 1628790244.3077
MEM 1961.769531 1628790244.4097
MEM 1962.390625 1628790244.5117
MEM 1964.546875 1628790244.6117
MEM 1962.843750 1628790244.7137
MEM 1965.679688 1628790244.8137
MEM 1964.269531 1628790244.9144
MEM 1964.605469 1628790245.0156
MEM 1964.710938 1628790245.1161
MEM 1964.539062 1628790245.2174
MEM 1966.238281 1628790245.3174
MEM 1964.843750 1628790245.4194
MEM 1965.277344 1628790245.5194
MEM 1971.050781 1628790245.6214
MEM 1971.050781 1628790245.7214
MEM 1971.050781 1628790245.8234
MEM 1971.054688 1628790245.9234
MEM 1971.054688 1628790246.0234
MEM 1971.054688 1628790246.1234
MEM 1971.054688 1628790246.2254
MEM 1972.003906 1628790246.3254
MEM 1980.234375 1628790246.4260
MEM 2004.355469 1628790246.5276
MEM 2049.089844 1628790246.6280
MEM 2079.507812 1628790246.7281
MEM 2083.007812 1628790246.8288
MEM 2083.871094 1628790246.9297
MEM 2085.046875 1628790247.0299
MEM 2086.753906 1628790247.1311
MEM 2087.277344 1628790247.2328
MEM 2088.667969 1628790247.3344
MEM 2091.746094 1628790247.4350
MEM 2094.085938 1628790247.5360
MEM 2095.398438 1628790247.6373
MEM 2098.203125 1628790247.7374
MEM 2099.082031 1628790247.8380
MEM 2101.726562 1628790247.9390
MEM 2103.492188 1628790248.0403
MEM 2105.546875 1628790248.1414
MEM 2108.175781 1628790248.2421
MEM 2110.230469 1628790248.3425
MEM 2111.937500 1628790248.4431
MEM 2113.695312 1628790248.5437
MEM 2114.753906 1628790248.6446
MEM 2116.554688 1628790248.7456
MEM 2117.734375 1628790248.8474
MEM 2118.621094 1628790248.9488
MEM 2119.503906 1628790249.0493
MEM 2120.375000 1628790249.1496
